ID,Path,Title,StoryURL,Author,AuthorURL,Series,SeriesURL,Category,Genre,Characters,Relationships,Language,LanguageID,Status,Published,Updated,Rating,Warnings,Chapters,Words,Publisher,Summary
2168526,/archiveofourown/freudianslip13/2168526_Downfall.epub,Downfall,http://archiveofourown.org/works/2168526,freudianslip13,https://archiveofourown.org/users/freudianslip13/pseuds/freudianslip13,,,Frozen (2013),F/F,"Elsa (Frozen), Anna (Frozen)",Anna/Elsa (Frozen),English,en,Completed,2014-08-20,2014-08-20,Mature,Creator Choose Not To Use Archive Warnings,1,2840,archiveofourown.org,"Anna wakes up in rehab after a difficult night. One-shot, Modern AU, Elsanna Incest. M for language, reference to drug and alcohol use, suicide, self-harm. Also depression and use of physical force (it’s pretty dark)."
1130995,/archiveofourown/RainyDumplings/1130995_PoisonousQueen.epub,Poisonous Queen,http://archiveofourown.org/works/1130995,RainyDumplings,https://archiveofourown.org/users/RainyDumplings/pseuds/RainyDumplings,,,Frozen (2013),F/F,"Elsa (Frozen), Anna (Frozen)",Anna & Elsa (Frozen),English,en,In-Progress,2014-01-11,2014-01-11,Teen And Up Audiences,Creator Choose Not To Use Archive Warnings,2,3726,archiveofourown.org,"""My life has been nothing but lies..."" she inhaled sharply. Everything finally beginning to register; tears threatening to form. ""Goodbye, Elsa..."" AU Victorian Verse Elsa and Anna. Multi-chaptered; Femslash; Elsanna."
1522892,/archiveofourown/ohhaiperson/1522892_RoleModel.epub,Role Model,http://archiveofourown.org/works/1522892,ohhaiperson,https://archiveofourown.org/users/ohhaiperson/pseuds/ohhaiperson,,,Frozen (2013),"Gen, Arendelle, Fluff, Elsanna Week","Anna (Frozen), Elsa (Frozen)",Anna & Elsa (Frozen),English,en,Completed,2014-04-25,2014-04-25,General Audiences,Creator Choose Not To Use Archive Warnings,1,504,archiveofourown.org,"After the Great Thaw, as Elsa and Anna are bonding on the ice, the two see a little girl acting a lot like Anna..."
1860858,/archiveofourown/ohhaiperson/1860858_AHintofJealousy.epub,A Hint of Jealousy,http://archiveofourown.org/works/1860858,ohhaiperson,https://archiveofourown.org/users/ohhaiperson/pseuds/ohhaiperson,,,Frozen (2013),"F/F, Gen, Jealousy","Elsa (Frozen), Anna (Frozen)","Anna/Elsa (Frozen), Anna & Elsa (Frozen)",English,en,Completed,2014-06-28,2014-06-28,General Audiences,Creator Choose Not To Use Archive Warnings,1,803,archiveofourown.org,Jealous Elsa thinks Anna and Kristoff are dating and just wants to spend time with her sister.
1824664,/archiveofourown/ohhaiperson/1824664_BornWithTheCurse.epub,Born With The Curse,http://archiveofourown.org/works/1824664,ohhaiperson,https://archiveofourown.org/users/ohhaiperson/pseuds/ohhaiperson,,,Frozen (2013),"F/F, elsanna babies, too lazy to tag sorry","Anna (Frozen), Elsa (Frozen), Kristoff (Frozen), Pabbie (Frozen)","Anna/Elsa (Frozen), Anna & Elsa (Frozen)",English,en,Completed,2014-06-21,2014-06-21,Teen And Up Audiences,Creator Choose Not To Use Archive Warnings,1,912,archiveofourown.org,"Elsa has somehow managed to get Anna pregnant with her child, and this child is slowly freezing Anna from the inside. Still with the dangers, Anna chooses to keep the child while Elsa continues to see it as a curse, as a part of her curse."
1268524,/archiveofourown/ohhaiperson/1268524_Chat.epub,Chat,http://archiveofourown.org/works/1268524,ohhaiperson,https://archiveofourown.org/users/ohhaiperson/pseuds/ohhaiperson,,,Frozen (2013),"F/F, Fluff","Elsa (Frozen), Anna (Frozen)","Anna & Elsa (Frozen), Anna/Elsa (Frozen)",English,en,Completed,2014-03-04,2014-03-04,Teen And Up Audiences,Creator Choose Not To Use Archive Warnings,1,410,archiveofourown.org,
1412104,/archiveofourown/Ireena/1412104_GirlfriendsattheBeach.epub,Girlfriends at the Beach,http://archiveofourown.org/works/1412104,Ireena,https://archiveofourown.org/users/Ireena/pseuds/Ireena,,,Frozen (2013),"F/F, Sisters in Love","Elsa (Frozen), Anna (Frozen)","Elsanna, Anna & Elsa (Frozen), ♥ - Relationship",English,en,Completed,2014-04-04,2014-05-03,Teen And Up Audiences,Creator Choose Not To Use Archive Warnings,3,3619,archiveofourown.org,"Finally done with paperwork for the modern kingdom of Arendelle, Elsa and Anna can finally go on their long awaited vacation."
1599659,/archiveofourown/ciceu/1599659_HappinessLiesInYourOwnHand.epub,Happiness Lies In Your Own Hand,http://archiveofourown.org/works/1599659,ciceu,https://archiveofourown.org/users/ciceu/pseuds/ciceu,,,Frozen (2013),"F/F, Alternate Universe - Modern Setting, Closeted Character","Anna (Frozen), Elsa (Frozen)","Anna/Elsa (Frozen), Anna & Elsa (Frozen)",English,en,Completed,2014-05-11,2014-05-11,General Audiences,No Archive Warnings Apply,1,1071,archiveofourown.org,She’s not sure how much more she can take of this.
1130518,/archiveofourown/TearsOfTheSnowPrincess/1130518_MidnightandMorn.epub,Midnight and Morn,http://archiveofourown.org/works/1130518,TearsOfTheSnowPrincess,https://archiveofourown.org/users/TearsOfTheSnowPrincess/pseuds/TearsOfTheSnowPrincess,,,Frozen (2013),"F/F, Sibling Incest, Work In Progress","Elsa (Frozen), Anna (Frozen)",Anna & Elsa (Frozen),English,en,In-Progress,2014-01-11,2014-01-11,Mature,No Archive Warnings Apply,1,2721,archiveofourown.org,"After Anna finds the courage to admit her romantic feelings toward her sister, Elsa realizes she shares these feelings. The two attempt to deal with their feelings, whilst simultaneously maintaining secrecy. Cold memories resurface and Elsa returns to her old safeguard of ""conceal, don't feel"", shutting Anna and the rest of the world out. Rated M for later chapters/incest."
1238323,/archiveofourown/ohhaiperson/1238323_MusicBound.epub,Music Bound,http://archiveofourown.org/works/1238323,ohhaiperson,https://archiveofourown.org/users/ohhaiperson/pseuds/ohhaiperson,,,Frozen (2013),"F/F, Fluff, Sibling Incest","Elsa (Frozen), Anna (Frozen)","Anna & Elsa (Frozen), Anna/Elsa (Frozen)",English,en,Completed,2014-02-28,2014-02-28,Teen And Up Audiences,Creator Choose Not To Use Archive Warnings,1,733,archiveofourown.org,"Anna is casually walking through the halls and past Elsa's room, and she overhears Elsa belting out a song. Anna's just blown away with Elsa's voice, and tries to tell her, but Elsa gets all embarrassed."
